"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","130","","examples.products.GetProductsListTests","","examples.products.GetProductsListTests","testProductObjectDataTypes","TC-019: Verify product object data types","Verify that product object contains correct data types"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","152","","examples.products.CreateProductTests","","examples.products.CreateProductTests","testCreatedAtFormatWithTimezone","TC-029: Verify createdAt format with timezone","Verify that createdAt is in ISO 8601 format with timezone"
"passed","Wed Apr 29 06:15:44 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","3053","","examples.users.LoginTests","","examples.users.LoginTests","testLoginWithNonExistentEmail","TC-008: Login with non-existent email","Verify that login fails with non-existent email"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","411","","examples.users.LoginTests","","examples.users.LoginTests","testLoginWithoutEmail","TC-010: Login without email field","Verify that login fails when email is missing"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","121","","examples.products.GetProductByIdTests","","examples.products.GetProductByIdTests","testGetProductByIdSuccess","TC-022: Successfully get product by existing ID","Verify that product details are returned for existing ID"
"passed","Wed Apr 29 06:15:44 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","3191","","examples.users.GetUsersListTests","","examples.users.GetUsersListTests","testUserObjectStructure","TC-002: Verify user object structure","Verify that each user object contains all required fields"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:48 UTC 2026","124","","examples.products.GetProductsListTests","","examples.products.GetProductsListTests","testProductIdUuidFormat","TC-020: Verify UUID format in product ID","Verify that product ID follows UUID v4 format"
"passed","Wed Apr 29 06:15:48 UTC 2026","Wed Apr 29 06:15:48 UTC 2026","208","","examples.users.LoginTests","","examples.users.LoginTests","testLoginWithoutPassword","TC-009: Login without password field","Verify that login fails when password is missing"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:48 UTC 2026","395","","examples.users.LoginTests","","examples.users.LoginTests","testLoginSuccess","TC-006: Successfully login with valid credentials","Verify that user can login with valid email and password"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","173","","examples.products.GetProductsListTests","","examples.products.GetProductsListTests","testProductPriceValidation","TC-021: Verify price is positive with max 2 decimal places","Verify that all prices are positive and have at most 2 decimal places"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:48 UTC 2026","363","","examples.users.CreateUserTests","","examples.users.CreateUserTests","testCreatedAtFormat","TC-016: Verify createdAt field format","Verify that createdAt field is in ISO 8601 format"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","150","","examples.products.CreateProductTests","","examples.products.CreateProductTests","testDefaultValuesGeneration","TC-027: Verify default values generation","Verify that default values are generated correctly"
"passed","Wed Apr 29 06:15:44 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","3054","","examples.users.CreateUserTests","","examples.users.CreateUserTests","testCreateUserWithEmptyBody","TC-015: Create user with empty body","Verify that user creation fails with empty request body"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:48 UTC 2026","270","","examples.users.CreateUserTests","","examples.users.CreateUserTests","testCreateUserSuccess","TC-012: Successfully create user with valid data","Verify that user can be created with valid name and job"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","88","","examples.users.GetUsersListTests","","examples.users.GetUsersListTests","testGetUsersListSuccess","TC-001: Successfully get users list with valid API key","Verify that API returns list of users with valid API key"
"passed","Wed Apr 29 06:15:47 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","129","","examples.products.GetProductByIdTests","","examples.products.GetProductByIdTests","testGetProductByInvalidIdFormat","TC-024: Get product with invalid UUID format","Verify that 400 is returned for invalid UUID format"
"passed","Wed Apr 29 06:15:45 UTC 2026","Wed Apr 29 06:15:47 UTC 2026","1721","","examples.products.CreateProductTests","","examples.products.CreateProductTests","testCreateProductWithNegativePrice","TC-030: Create product with negative price","Verify that product creation fails with negative price"
